Category,Complaint Description,Staff Assignment,Auto Priority,Auto Severity,text_length,word_count
Medical Assistance,Someone is having breathing problem and requires immediate doctor.,Station Master,High,Critical,66,9
Catering,The tea contains hair and is unsafe to eat.,Catering Staff,High,Critical,43,9
Punctuality,The coach composition and formation was changed without notice and my reserved coach is missing from the train completely today,TTE Staff,High,High,127,20
Corruption,The issue demanded issue for issue.,Station Master,High,Critical,35,6
Corruption,The luggage porter is very demanding excessive money much more than prescribed rates and threatening passengers if they refuse to pay extra amount,Station Master,Medium,Medium,146,23
Passenger Amenities,The luggage rack is broken sagging and cannot hold weight of bags safely as it might collapse anytime causing injury or damage,Maintenance Staff,High,High,126,22
Staff Behaviour,The railway staff is not helping passengers with genuine queries and problems and behaving very unprofessionally and carelessly on duty,Station Master,Medium,Medium,135,20
Electrical Equipment,The reading light above my berth is continuously flickering on and off rapidly making it impossible to read books or use properly,Maintenance Staff,Low,Low,129,22
Coach - Maintenance,My seat is issue making it issue.,Maintenance Staff,Medium,Medium,33,7
Punctuality,The train departed early and I missed my stop.,Station Master,High,High,46,9
Staff Behaviour,The housekeeping cleaning staff rudely refused to clean the toilet when requested politely multiple times despite it being their primary duty,Housekeeping Staff,Medium,Medium,141,21
Coach - Cleanliness,I am reporting that there are lizards crawling on the walls of the coach scaring the children nearby and making passengers feel uncomfortable and unsafe,Housekeeping Staff,Low,Low,152,25
Passenger Amenities,There is no proper step stool ladder provided to reach upper berth making it very difficult dangerous for elderly and children to climb I am very disappointed with this.,TTE Staff,Medium,Medium,169,29
Catering,The catering staff is not wearing proper uniform gloves or hair nets while handling and serving food to passengers violating hygiene rules,Catering Staff,Medium,Medium,138,22
Miscellaneous,Wrong announcement was made at station about train arrival time platform causing passengers to miss the train and face significant inconvenience This happened during my recent journey.,Station Master,Medium,Medium,184,27
Corruption,The ticket checker asked for money under table to upgrade my seat class without proper ticket which is illegal corruption and should be reported,Station Master,High,Critical,144,24
Passengers Behaviour,A person is sleeping on the middle berth during daytime blocking the seat space and refusing to fold it up for others to sit,TTE Staff,Low,Low,124,24
Coach - Cleanliness,The entire train compartment is infested with bugs insects and other pests crawling everywhere on the berths and luggage racks,Housekeeping Staff,High,Critical,126,20
Electrical Equipment,The lights in the entire coach compartment are not working at all and it is completely pitch dark making it impossible to see anything This happened during my recent journey.,Maintenance Staff,High,Critical,174,30
Water Availability,The water tap handle is very stuck jammed and cannot be opened or closed at all by passengers needing to use water facilities,Maintenance Staff,Medium,Medium,125,23
Punctuality,The train started moving suddenly without any warning whistle and people fell down got injured while boarding at the platform,Station Master,High,High,125,20
Miscellaneous,Wrong announcement was made at station about train arrival time platform causing passengers to miss the train and face significant inconvenience,Station Master,Medium,Medium,144,21
Security,Unsafe environment for a solo female traveler in this train due to staring harassment and lack of visible security making journey very stressful,RPF Security,High,High,144,23
Unreserved Ticketing,The online booking website system crashed during payment and I was extremely charged multiple times for single ticket without getting confirmation receipt,Station Master,High,High,154,22
Punctuality,The train departed from station much earlier than scheduled time and I missed catching it despite reaching platform 10 minutes before departure,Station Master,High,High,143,22
Coach - Cleanliness,The window curtains have visible black mold and fungus spots on them and definitely need replacement or thorough washing immediately I am very disappointed with this.,Housekeeping Staff,Medium,Medium,166,26
Miscellaneous,Train name was changed without proper advance notice given to passengers who were waiting for originally scheduled train at the station platform This happened during my recent journey.,Station Master,Medium,Medium,184,28
Corruption,The railway staff demanded bribe money for providing basic services that should be free and refused to help without payment which is corruption,Station Master,High,Critical,143,23
Passengers Behaviour,Someone stole my shoes sandals while I was sleeping comfortably at night and I woke up to find them completely missing from under seat,RPF Security,Medium,High,134,24
Electrical Equipment,The electrical wiring is dangerously exposed hanging from the ceiling creating serious risk of electric shock and needs immediate repair,Maintenance Staff,High,Critical,136,20
Coach - Maintenance,The berth ladder is completely missing not working and we cannot safely climb to the upper berth without serious risk of falling and injury,Maintenance Staff,High,High,139,24
Bed Roll,The issue is issue and issue.,TTE Staff,Medium,Medium,29,6
Medical Assistance,A pregnant woman passenger is in active labor and needs urgent emergency medical help and should be taken to nearest hospital immediately,Station Master,High,Critical,137,22
Medical Assistance,A passenger is having epileptic seizure fit and needs immediate medical help intervention to prevent injury and provide proper care during episode,Station Master,High,Critical,146,22
Coach - Cleanliness,The whole coach compartment needs deep thorough cleaning immediately with strong disinfectant and sanitizer to make it habitable and safe I am very disappointed with this.,Housekeeping Staff,High,High,171,26
Water Availability,There is absolutely no water supply at all in the washbasin tap for hand washing after using toilet facilities in our coach This needs urgent attention.,Maintenance Staff,High,High,152,26
Coach - Cleanliness,There are small insects and bugs crawling inside the AC air conditioning vent opening above my seat spreading throughout the coach,Housekeeping Staff,High,High,130,21
Corruption,The railway employee demanded bribe payment to process my legitimate complaint and refused to register it without paying money which is corruption This needs urgent attention.,Station Master,High,Critical,175,26
Water Availability,The water pressure from the tap is too low and barely any water trickles out making it useless for washing hands properly I am very disappointed with this.,Maintenance Staff,Medium,Medium,155,28
Water Availability,Water is continuously leaking from the ceiling pipes onto the berths below soaking bedding and making it impossible to sleep comfortably,Maintenance Staff,High,Critical,136,21
Water Availability,There is absolutely no water supply at all in the washbasin tap for hand washing after using toilet facilities in our coach,Maintenance Staff,High,High,123,22
Punctuality,The train is moving at extremely slow crawling speed for many hours now without any explanation causing major delay in reaching destination,Station Master,Medium,Medium,139,22
Security,A drunk violent man is continuously banging on the locked door of my private coupe compartment trying to force entry inside,RPF Security,High,Critical,123,21
Punctuality,The train is running over 5 hours late behind schedule without any announcement explanation or information given to waiting passengers about delay This happened during my recent journey.,Station Master,High,High,186,28
Passenger Amenities,There is no hand sanitizer or soap provided in the washroom for passengers to wash hands after using toilet which is unhygienic practice I am very disappointed with this.,Housekeeping Staff,Medium,Medium,170,29
Passengers Behaviour,I am reporting that a person is rudely refusing to share the lower berth seat during daytime despite railway rules requiring seat sharing among passengers,TTE Staff,Low,Low,154,25
Coach - Cleanliness,There are numerous flies sitting on the grab handles and handrails which spreads harmful germs and bacteria to every passenger touching them,Housekeeping Staff,Medium,Medium,140,22
Electrical Equipment,The ceiling fan in the coach is not working at all and it is extremely hot stuffy inside making it very uncomfortable for passengers This happened during my recent journey.,Maintenance Staff,High,High,172,30
Corruption,The issue asked for issue to issue.,Station Master,Medium,Medium,35,7
Water Availability,The main water storage tank is completely empty and needs to be refilled immediately at the next station for passenger use,Maintenance Staff,High,High,122,21
Security,I am facing misbehavior from strangers in the coach.,RPF Security,High,High,52,9
Unreserved Ticketing,My confirmed reserved ticket status was suddenly changed to RAC without any notification information or explanation from railway authorities before journey,TTE Staff,High,High,155,21
Medical Assistance,Someone is having a severe heart attack chest pain and we urgently need a doctor and medical help immediately to save life,Station Master,High,Critical,122,22
Unreserved Ticketing,The issue was issue causing issue.,Station Master,Medium,Medium,34,6
Unreserved Ticketing,I booked a ticket online but my name is not appearing on the passenger list chart which is causing problems during verification by TTE This happened during my recent journey.,TTE Staff,High,High,174,30
Electrical Equipment,The charging point electrical socket near my seat is not working at all and I cannot charge my mobile phone laptop or any devices,Maintenance Staff,Low,Low,129,24
Miscellaneous,The mobile app showed completely wrong PNR status information to me causing confusion about my actual ticket confirmation status before journey,Station Master,Low,Low,143,21
Coach - Maintenance,The door lock mechanism is broken and the sliding door keeps opening on its own while train is moving creating dangerous safety hazard,Maintenance Staff,High,Critical,134,23
Coach - Maintenance,The window cannot be closed properly and cold air is entering the coach continuously making passengers very cold and uncomfortable during night,Maintenance Staff,Medium,Medium,143,22
Punctuality,The train completely skipped my scheduled station without stopping and I missed my destination forcing me to travel ahead unnecessarily,Station Master,High,Critical,135,20
Miscellaneous,I faced issue during issue.,Station Master,Low,Low,27,5
Catering,The catering staff refuses to accept UPI digital payment and demands only cash creating inconvenience for passengers without physical currency,Catering Staff,Low,Low,142,20
Unreserved Ticketing,My ticket issue and issue.,Station Master,High,High,26,5
Passenger Amenities,I am reporting that there is no hand sanitizer or soap provided in the washroom for passengers to wash hands after using toilet which is unhygienic practice,Housekeeping Staff,Medium,Medium,156,27
Medical Assistance,An elderly traveler is lying unconscious and completely unresponsive and we need immediate medical attention to check vitals and provide care,Station Master,High,Critical,141,21
Bed Roll,The issue provided is issue and issue.,Maintenance Staff,Low,Low,38,7
Passenger Amenities,The issue is issue and passengers cannot issue.,TTE Staff,Low,Low,47,8
Unreserved Ticketing,I was issue for the ticket which is issue.,Station Master,Medium,Medium,42,9
Electrical Equipment,The charging point in the coach is not working and very hot inside.,Maintenance Staff,Low,Low,67,13
Passengers Behaviour,People are issue making the journey issue.,RPF Security,High,High,42,7
Miscellaneous,Mobile cellular network connectivity issue on this route is extremely bad with no signal making it impossible to make emergency calls for help,Station Master,Low,Low,142,23
Passengers Behaviour,Someone is issue which is issue.,TTE Staff,High,Critical,32,6
Water Availability,The water pressure from the tap is too low and barely any water trickles out making it useless for washing hands properly,Maintenance Staff,Medium,Medium,121,22
Security,A stranger is secretly recording video of me sleeping without my consent knowledge or permission which is invasion of privacy and illegal,RPF Security,High,Critical,137,22
Unreserved Ticketing,I was denied refund money even though I canceled the ticket well within the allowed time limit as per official railway refund rules,Station Master,High,High,131,23
Electrical Equipment,The circuit breaker keeps tripping automatically every few minutes causing repeated power cuts and making journey very uncomfortable for everyone,Maintenance Staff,High,High,145,20
Staff Behaviour,The ticket collector was visibly drunk on duty and misbehaving with passengers using inappropriate language and stumbling while walking in aisle,Station Master,High,Critical,144,21
Water Availability,The water coming out has a very foul smell and appears dirty contaminated and unfit for drinking or washing purposes definitely This happened during my recent journey.,Maintenance Staff,High,Critical,167,27
Coach - Cleanliness,The cleaning maintenance chart displayed shows the lavatory was cleaned recently but it is actually filthy contradicting the official records,Housekeeping Staff,Medium,Medium,141,20
Coach - Cleanliness,There are cockroaches in the coach seat causing discomfort to passengers.,Housekeeping Staff,High,High,73,11
Electrical Equipment,The lights in the entire coach compartment are not working at all and it is completely pitch dark making it impossible to see anything,Maintenance Staff,High,Critical,134,24
Coach - Cleanliness,The liquid hand soap dispenser unit is covered in thick grime and dirt making it look unhygienic and unusable for passengers,Housekeeping Staff,Low,Low,124,21
Punctuality,The emergency brakes were applied very suddenly causing many passengers to fall and some suffered injuries due to unexpected stop I am very disappointed with this.,Station Master,High,Critical,163,26
Punctuality,The train departed early and I missed connection.,Station Master,High,High,49,8
Passengers Behaviour,Co-passengers are issue and disturbing issue.,TTE Staff,Low,Low,45,6
Staff Behaviour,The maintenance staff is not responding at all to urgent critical repair requests despite multiple complaints about broken facilities in coach This happened during my recent journey.,Maintenance Staff,High,High,182,27
Passengers Behaviour,I am reporting that a passenger is putting their dirty feet on my seat and dirtying it despite me asking them politely to remove and sit properly,TTE Staff,Low,Low,145,27
Water Availability,The water coming out has a very foul smell and appears dirty contaminated and unfit for drinking or washing purposes definitely I am very disappointed with this.,Maintenance Staff,High,Critical,161,27
Coach - Cleanliness,The washbasin sink area is covered with red pan masala spit marks and betel nut stains that look disgusting and unhygienic,Housekeeping Staff,High,High,122,21
Passengers Behaviour,A co-passenger is continuously coughing very badly without covering their mouth properly spreading germs and making others sick and uncomfortable,TTE Staff,Low,Low,145,20
Catering,The disposable plates cups and spoons provided are of extremely poor quality and break easily while eating causing spillage and mess,Catering Staff,Low,Low,132,21
Miscellaneous,Platform was suddenly changed at the very last minute without proper announcement causing panic confusion and passengers running with heavy luggage I am very disappointed with this.,Station Master,High,High,181,27
Unreserved Ticketing,I am reporting that i booked a ticket online but my name is not appearing on the passenger list chart which is causing problems during verification by tte,TTE Staff,High,High,154,28
Security,Someone is aggressively banging on the locked door and shouting threatening words outside our compartment making us feel terrorized and scared,RPF Security,Medium,High,142,21
Passengers Behaviour,A group of men is openly drinking alcohol in the coach which is strictly illegal and against railway rules making others uncomfortable,RPF Security,High,Critical,134,22
Security,I saw dangerous people climbing on the roof of moving train which is extremely unsafe and could cause serious accidents or deaths,TTE Staff,High,Critical,129,22
Catering,There is no variety in the food menu and only 2-3 basic items are available for an entire 24 hour long journey,Catering Staff,Low,Low,110,22
Passenger Amenities,There is no mirror provided in the coach area and passengers cannot check their appearance or groom themselves properly during journey,TTE Staff,Low,Low,134,21
Coach - Cleanliness,The toilet walls are written over with graffiti obscene language and look very dirty and need immediate cleaning and painting work I am very disappointed with this.,Housekeeping Staff,Low,Low,164,27
Punctuality,The train arrived very late causing passengers to face problems.,Station Master,High,High,64,10
Medical Assistance,A passenger is having epileptic seizure fit and needs immediate medical help intervention to prevent injury and provide proper care during episode I am very disappointed with this.,Station Master,High,Critical,180,28
Miscellaneous,Train name was changed without proper advance notice given to passengers who were waiting for originally scheduled train at the station platform,Station Master,Medium,Medium,144,22
Security,Someone is attempting to pick the compartment door lock using tools from outside and trying to gain unauthorized entry while we sleep,RPF Security,High,Critical,133,22
Medical Assistance,A child is having very severe breathing difficulty asthma attack and needs immediate medical attention oxygen and emergency medication now,Station Master,High,Critical,138,20
Punctuality,The train route was extremely suddenly changed diverted without informing passengers in advance causing confusion and making people miss connections,Station Master,High,High,148,20
Water Availability,The water tap is not working damaged and water is gushing out continuously non-stop wasting large quantities and flooding the floor area,Maintenance Staff,High,High,136,22
Bed Roll,The bedsheet is damp wet and smells of mildew fungus indicating it was not properly dried before being packed and distributed to passengers,Housekeeping Staff,Medium,Medium,139,23
Punctuality,There was no notification about the schedule change.,Station Master,Medium,Medium,52,8
Staff Behaviour,The railway employee used extremely foul abusive language with elderly passengers who asked for help with luggage at the station platform,Station Master,High,High,137,21
Coach - Cleanliness,The pillow provided in bedroll smells strongly of accumulated sweat body odor and has clearly visible yellow stains covering the surface,Housekeeping Staff,Medium,Medium,136,21
Coach - Cleanliness,Trash waste and garbage is overflowing from the dustbin container and spilling onto the main aisle walkway obstructing passenger movement,Housekeeping Staff,High,High,137,20
Coach - Cleanliness,The walkway carpet floor covering is heavily stained and smells of dampness mildew and accumulated dirt from improper maintenance,Housekeeping Staff,Medium,Medium,129,19
Catering,The pickle and chutney sachets provided are leaking and expired based on the manufacturing date printed on the small packaging label,Catering Staff,Medium,Medium,132,21
Unreserved Ticketing,I am reporting that my e-ticket was not accepted recognized by the tte and i was asked to pay again full fare which is unfair and wrong practice,TTE Staff,High,High,144,28
Security,I need protection as I am a witness to a serious crime that happened in the train and perpetrators are threatening me to stay silent This happened during my recent journey.,RPF Security,High,Critical,172,31
Water Availability,The water pressure from the tap is too low and barely any water trickles out making it useless for washing hands properly This happened during my recent journey.,Maintenance Staff,Medium,Medium,161,28
Staff Behaviour,The maintenance staff is not responding at all to urgent critical repair requests despite multiple complaints about broken facilities in coach,Maintenance Staff,High,High,142,21
Water Availability,I am reporting that water is continuously leaking from the ceiling pipes onto the berths below soaking bedding and making it impossible to sleep comfortably,Maintenance Staff,High,Critical,156,25
Passengers Behaviour,Unauthorized ticketless people are sitting in the reserved coach without proper tickets and refusing to leave despite multiple warnings from staff,TTE Staff,High,High,146,21
Miscellaneous,There was issue which resulted in issue.,Station Master,Low,Low,40,7
Medical Assistance,There is no first aid medical kit box available in the coach during this medical emergency which could help provide basic immediate treatment,Station Master,High,High,141,23
Electrical Equipment,There is no lighting in the coach making it unbearable.,Maintenance Staff,High,Critical,55,10
Coach - Cleanliness,I found stains in the toilet which is disgusting and needs pest control.,Housekeeping Staff,High,Critical,72,13
Coach - Maintenance,The seat belt safety strap is torn ripped and cannot be fastened properly which is a serious safety hazard during emergency situations,Maintenance Staff,Medium,High,134,22
Electrical Equipment,The electrical wiring is dangerously exposed hanging from the ceiling creating serious risk of electric shock and needs immediate repair This needs urgent attention.,Maintenance Staff,High,Critical,165,24
Unreserved Ticketing,Refund was issue despite issue.,Station Master,High,High,31,5
Catering,The food served was stale and had foreign objects.,Catering Staff,High,High,50,9
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing help,TTE Staff,Medium,Medium,135,20
Unreserved Ticketing,My confirmed reserved ticket status was suddenly changed to RAC without any notification information or explanation from railway authorities before journey I am very disappointed with this.,TTE Staff,High,High,189,27
Coach - Maintenance,The armrest is broken and hanging loosely from the seat frame and could fall off completely anytime causing injury or inconvenience,Maintenance Staff,Low,Low,131,21
Punctuality,The emergency brakes were applied very suddenly causing many passengers to fall and some suffered injuries due to unexpected stop,Station Master,High,Critical,129,20
Punctuality,The train is running over 5 hours delayed behind schedule without any announcement explanation or information given to waiting passengers about delay,Station Master,High,High,149,22
Catering,The food served contains foreign objects like hair strands and small pieces of plastic wrapper mixed inside the rice curry gravy,Catering Staff,High,Critical,128,21
Passengers Behaviour,Children are continuously running up and down the corridor screaming loudly and disturbing other passengers trying to rest or sleep peacefully,TTE Staff,Low,Low,142,21
Punctuality,The train is moving at extremely slow crawling speed for many hours now without any explanation causing major delay in reaching destination,Station Master,Medium,Medium,139,22
Miscellaneous,Train name was changed without proper advance notice given to passengers who were waiting for originally scheduled train at the station platform I am very disappointed with this.,Station Master,Medium,Medium,178,28
Staff Behaviour,The TTE ticket checker was extremely rude arrogant when I politely asked simple question about my seat allocation and spoke very disrespectfully,TTE Staff,Medium,Medium,144,22
Electrical Equipment,There are dangerous sparks coming from the electrical socket outlet which is very dangerous fire hazard and could electrocute passengers touching it,Maintenance Staff,High,Critical,148,22
Coach - Maintenance,The issue is issue and needs issue.,Maintenance Staff,Low,Low,35,7
Water Availability,The hot water heating system is not working at all in the AC coach and only cold water comes out even after waiting,Maintenance Staff,Low,Low,115,23
Medical Assistance,There is no first aid kit available in the coach during this crisis.,Station Master,High,Critical,68,13
Coach - Cleanliness,The bedsheets provided in the bedroll kit are stained yellow and brown and look like they have never been washed or sanitized properly,Housekeeping Staff,Medium,Medium,134,23
Electrical Equipment,The power backup supply system has completely failed and there is no electricity in the coach even though coach is moving normally,Maintenance Staff,High,Critical,130,22
Catering,The cooking oil used for frying food items smells rancid and has clearly been reused multiple times without proper filtering or replacement,Catering Staff,High,High,139,22
Passengers Behaviour,A person is rudely refusing to share the lower berth seat during daytime despite railway rules requiring seat sharing among passengers,TTE Staff,Low,Low,134,21
Corruption,The luggage porter is demanding excessive money much more than prescribed rates and threatening passengers if they refuse to pay extra amount I am very disappointed with this.,Station Master,Medium,Medium,175,28
Water Availability,Water supply is foul smelling and appears unclear.,Maintenance Staff,High,Critical,50,8
Passenger Amenities,There is no proper dustbin waste container provided in our bay area and passengers have nowhere to dispose garbage properly creating mess,TTE Staff,Low,Low,137,22
Passenger Amenities,I am reporting that the magazine newspaper rack holder is broken and there are no reading materials provided for passengers during the long journey time,TTE Staff,Low,Low,152,25
Water Availability,The water tap is not working and cannot wash hands.,Maintenance Staff,High,High,51,10
Unreserved Ticketing,I was denied refund money even though I canceled the ticket well within the allowed time limit as per official railway refund rules,Station Master,High,High,131,23
Passengers Behaviour,Passengers are deliberately damaging railway property by tearing the seat covers and scratching walls with sharp objects creating vandalism This happened during my recent journey.,TTE Staff,High,High,179,25
Coach - Cleanliness,The washbasin tap faucet is covered in fungal growth and green algae buildup and desperately needs thorough cleaning and scrubbing,Housekeeping Staff,Medium,Medium,130,20
Passengers Behaviour,Someone is issue which is issue.,TTE Staff,Low,Low,32,6
Bed Roll,No issue was given even after issue.,Housekeeping Staff,Medium,Medium,36,7
Miscellaneous,I am reporting that platform was suddenly changed at the very last minute without proper announcement causing panic confusion and passengers running with heavy luggage,Station Master,High,High,167,25
Staff Behaviour,I am reporting that the housekeeping cleaning staff rudely refused to clean the toilet when requested politely multiple times despite it being their primary duty,Housekeeping Staff,Medium,Medium,161,25
Coach - Cleanliness,The toilet washroom smells like it has not been cleaned with strong acid or disinfectant cleaner for several months at minimum,Housekeeping Staff,High,High,126,21
Passenger Amenities,The toilet tissue paper holder is empty and no paper is provided forcing passengers to use alternative uncomfortable unhygienic methods This happened during my recent journey.,Housekeeping Staff,Low,Low,175,26
Water Availability,Water is continuously leaking from the ceiling pipes onto the berths below soaking bedding and making it impossible to sleep comfortably I am very disappointed with this.,Maintenance Staff,High,Critical,170,27
Catering,The milk used in tea and coffee appears to be spoiled sour and causes the beverage to curdle immediately upon pouring,Catering Staff,High,High,117,21
Medical Assistance,Someone is having severe allergic reaction anaphylaxis and needs emergency medication injection right away to prevent death or serious complications,Station Master,High,Critical,148,20
Catering,The bottled water provided is very not sealed properly and the cap has already been opened before giving it to passengers for drinking,Catering Staff,High,High,134,23
Bed Roll,The bedroll was not delivered at all even after multiple requests to TTE and attendant staff despite having paid full amount during booking,TTE Staff,High,High,139,23
Electrical Equipment,The ceiling fan in the coach is not working at all and it is extremely hot stuffy inside making it very uncomfortable for passengers,Maintenance Staff,High,High,132,24
Coach - Cleanliness,The windows are too dirty covered with dust and grime making it impossible to see anything outside clearly during the journey,Housekeeping Staff,Low,Low,125,21
Punctuality,The train departed from station much earlier than scheduled time and I missed catching it despite reaching platform 10 minutes before departure,Station Master,High,High,143,22
Medical Assistance,A pregnant woman passenger is in active labor and needs urgent emergency medical help and should be taken to nearest hospital immediately I am very disappointed with this.,Station Master,High,Critical,171,28
Unreserved Ticketing,The reservation chart is not displayed on the coach board making it impossible for passengers to locate their seats and causing confusion chaos,TTE Staff,Medium,Medium,143,23
Corruption,The pantry employee is not issuing proper bills for food purchased and taking cash payments without recording them for tax evasion purposes,Station Master,Medium,Medium,139,22
Coach - Maintenance,I am reporting that the window latch catch is broken and the window rattles loudly with vibration creating constant disturbing noise throughout the entire journey,Maintenance Staff,Low,Low,162,25
Security,Hijras are forcefully demanding money from passengers and harassing them by not leaving until they pay some amount under pressure,RPF Security,Medium,Medium,129,20
Coach - Maintenance,The door closer mechanism spring is not working properly and the door remains open all the time letting dust and noise enter coach,Maintenance Staff,Medium,Medium,130,23
Punctuality,The coach composition and formation was changed without notice and my reserved coach is missing from the train completely today This happened during my recent journey.,TTE Staff,High,High,167,26
Catering,The food packaging does not have FSSAI license number printed indicating it may not meet Indian food safety standards and regulations,Catering Staff,Medium,High,133,21
Medical Assistance,A diabetic patient needs insulin injection medicine immediately but there is no medical facility or first aid kit available in coach This needs urgent attention.,Station Master,High,High,161,25
Medical Assistance,A traveler needs emergency care immediately to prevent complications.,Station Master,High,Critical,69,9
Electrical Equipment,Electrical wiring is exposed causing danger.,Maintenance Staff,Low,Low,44,6
Water Availability,Water supply is dirty and appears brown.,Maintenance Staff,High,High,40,7
Security,My purse was slashed open with a sharp blade razor and all money cash was stolen expertly by professional thieves without me noticing,RPF Security,High,Critical,133,23
Miscellaneous,Train name was changed without proper advance notice given to passengers who were waiting for originally scheduled train at the station platform,Station Master,Medium,Medium,144,22
Miscellaneous,The IRCTC mobile app is not working properly at all for booking tickets and keeps crashing freezing making it impossible to complete reservation This happened during my recent journey.,Station Master,Low,Low,184,29
Coach - Maintenance,The berth ladder is completely missing broken and we cannot safely climb to the upper berth without serious risk of falling and injury,Maintenance Staff,High,High,134,23
Punctuality,The train completely skipped my scheduled station without stopping and I missed my destination forcing me to travel ahead unnecessarily,Station Master,High,Critical,135,20
Catering,The fruit juice served is heavily diluted with water and sugar and does not contain any actual fruit pulp or natural flavor This happened during my recent journey.,Catering Staff,Low,Low,163,28
Passenger Amenities,The toilet tissue paper holder is empty and no paper is provided forcing passengers to use alternative uncomfortable unhygienic methods,Housekeeping Staff,Low,Low,135,20
Medical Assistance,An elderly passenger is lying unconscious and completely unresponsive and we need immediate medical attention to check vitals and provide care,Station Master,High,Critical,142,21
Unreserved Ticketing,The tatkal emergency ticket booking system is not working properly during the specified time slot preventing passengers from booking urgent tickets,Station Master,Medium,Medium,147,21
Punctuality,The train changed route and I missed connection.,Station Master,High,Critical,48,8
Miscellaneous,Luggage policy rules are unclear and confusing on railway website for passengers making it difficult to understand what is allowed or prohibited,Station Master,Low,Low,144,22
Coach - Maintenance,There is a issue in the coach causing issue.,Maintenance Staff,Medium,Medium,44,9
Catering,The food served by the catering staff is completely stale cold and has a very bad foul foul smell indicating it was cooked days ago,Catering Staff,High,High,131,25
Coach - Maintenance,The seat reclining mechanism is completely jammed stuck and will not move at all making it impossible to adjust seat angle for comfort,Maintenance Staff,Medium,Medium,134,23
Staff Behaviour,The catering pantry staff spoke extremely abusively rudely when I complained about poor food quality and refused to address my genuine concern,Catering Staff,Medium,Medium,142,22
Passengers Behaviour,Two passengers are fighting loudly shouting at each other and disturbing the peace of entire compartment with their aggressive argument behavior,RPF Security,High,Critical,144,21
Electrical Equipment,The emergency backup light is not functional in this coach which could be dangerous in case of power failure or emergency evacuation This happened during my recent journey.,Maintenance Staff,Medium,High,172,28
Miscellaneous,Wrong announcement was made at station about train arrival time platform causing passengers to miss the train and face significant inconvenience I am very disappointed with this.,Station Master,Medium,Medium,178,27
Coach - Cleanliness,The whole coach compartment needs deep thorough cleaning immediately with strong disinfectant and sanitizer to make it habitable and safe,Housekeeping Staff,High,High,137,20
Water Availability,The hot water heating system is not working at all in the AC coach and only cold water comes out even after waiting This needs urgent attention.,Maintenance Staff,Low,Low,144,27
Staff Behaviour,The attendant refused to provide any assistance when called repeatedly despite seeing me struggling with heavy luggage and needing help I am very disappointed with this.,TTE Staff,Medium,Medium,169,26
Passengers Behaviour,A group is singing loudly and clapping hands continuously disturbing others who want to rest quietly or sleep during the night journey,TTE Staff,Medium,Medium,134,22
Staff Behaviour,The railway crew member is not helping passengers with genuine queries and problems and behaving very unprofessionally and carelessly on duty,Station Master,Medium,Medium,141,21
Unreserved Ticketing,The TTE is demanding extra money bribe to allot me the confirmed seat despite having valid confirmed ticket which is corruption and illegal,Station Master,High,Critical,139,23
Passenger Amenities,The luggage rack is broken sagging and cannot hold weight of bags safely as it might collapse anytime causing injury or damage This happened during my recent journey.,Maintenance Staff,High,High,166,28
Water Availability,I am reporting that the main water storage tank is completely empty and needs to be refilled immediately at the next station for passenger use,Maintenance Staff,High,High,142,25
Passenger Amenities,The coat hook hanger is broken missing and there is nowhere to hang clothes bags or jackets properly in the compartment space I am very disappointed with this.,Maintenance Staff,Low,Low,159,28
Coach - Maintenance,The armrest is malfunctioning and hanging loosely from the seat frame and could fall off completely anytime causing injury or inconvenience,Maintenance Staff,Low,Low,139,21
Bed Roll,I am reporting that the blanket provided is torn has multiple holes in the fabric and is falling apart making it useless for warmth during cold night,Housekeeping Staff,Low,Low,149,27
Corruption,The issue demanded issue for issue.,Station Master,Medium,Medium,35,6
Electrical Equipment,The charging point electrical socket near my seat is not working at all and I cannot charge my mobile phone laptop or any devices,Maintenance Staff,Low,Low,129,24
Bed Roll,The pillow is completely flat hard and provides absolutely no support for neck and head causing severe neck pain and discomfort while sleeping,Housekeeping Staff,Low,Low,142,23
Security,There is no lady constable female police officer available for addressing women passenger safety complaints and concerns in this coach,Station Master,High,High,134,20
Staff Behaviour,The ticket checker TTE demanded a bribe money for allotting me a seat despite having valid ticket which is corruption and should be reported,Station Master,High,Critical,140,24
Security,I am facing threats from strangers in the coach.,RPF Security,High,Critical,48,9
Catering,The tea served tastes exactly like dishwater and is completely undrinkable with no proper tea flavor or milk content at all,Catering Staff,Low,Low,123,21
Punctuality,The train started moving suddenly without any warning whistle and people fell down got injured while boarding at the platform,Station Master,High,High,125,20
Security,Someone threw a heavy stone at the train window from outside and broke the glass creating dangerous sharp pieces everywhere inside coach,Maintenance Staff,High,Critical,136,22
Staff Behaviour,The issue issue which is issue.,Maintenance Staff,High,High,31,6
Catering,The food served contains foreign objects like hair strands and small pieces of plastic wrapper mixed inside the rice curry gravy,Catering Staff,High,Critical,128,21
Water Availability,The drinking water dispenser machine is not working functioning in this coach and passengers have no access to clean drinking water,Maintenance Staff,High,High,131,21
Corruption,I am reporting that the railway employee demanded bribe payment to process my legitimate complaint and refused to register it without paying money which is corruption,Station Master,High,Critical,166,26
Medical Assistance,A pregnant woman traveler is in active labor and needs urgent emergency medical assistance and should be taken to nearest hospital immediately,Station Master,High,Critical,142,22
